system:index,Delta_BSI,Delta_MNDWI,Delta_NDBI,Delta_NDVI,Delta_NDWI,.geo
2182,-0.07744650388386859,-0.0790643359140627,-0.02996343508522492,0.07844027879692217,-0.06419277531480927,"{""type"":""MultiPoint"",""coordinates"":[]}"
2212,-0.157049406017007,-0.2913134748340942,-0.042375970743234126,0.30493457544465863,-0.22770010585274425,"{""type"":""MultiPoint"",""coordinates"":[]}"
2234,-0.045870227299336985,-0.04594761665322922,-0.019149805916196305,0.05593303364261093,-0.04341463079445196,"{""type"":""MultiPoint"",""coordinates"":[]}"
2248,-0.012768821639044137,-0.08564677198707954,0.004875008212389675,0.040105422445403494,-0.055021829739690054,"{""type"":""MultiPoint"",""coordinates"":[]}"
2292,-0.14285545929532928,0.020184292623360356,-0.11225261372331724,0.09330317485371598,-0.0561435473206241,"{""type"":""MultiPoint"",""coordinates"":[]}"
2297,-0.10304801589990131,-0.07441751276827496,-0.05811782970202467,0.14027140934200855,-0.08898244565524827,"{""type"":""MultiPoint"",""coordinates"":[]}"
2344,0.011456679780454698,-0.013205822016962132,0.012130371705448673,-0.0199904793441934,-0.0013148178067985405,"{""type"":""MultiPoint"",""coordinates"":[]}"
2356,0.09861605737192278,-0.05423163436743733,0.10267347828789125,-0.07125601447522989,0.03364953879520216,"{""type"":""MultiPoint"",""coordinates"":[]}"
2403,0.036993897482686895,-0.08406772076017294,0.056918605078181736,0.020809063861262855,-0.03106159965879801,"{""type"":""MultiPoint"",""coordinates"":[]}"
2414,-0.03791624328268761,-0.0036460139469917108,-0.036172076859531666,0.010390004892727123,-0.024495389693404257,"{""type"":""MultiPoint"",""coordinates"":[]}"
2419,0.016902437788758523,-0.11577687556262656,0.04177003617479072,0.032694500010927885,-0.06386231938993003,"{""type"":""MultiPoint"",""coordinates"":[]}"
2431,-0.042504948002241694,-0.09950906728907827,-0.01696972491844062,0.0650336450538983,-0.07571868431149908,"{""type"":""MultiPoint"",""coordinates"":[]}"
2435,-0.022525362701260265,-0.02804758297944837,-0.023515954410263384,-0.0018576620214129091,-0.029856858335032266,"{""type"":""MultiPoint"",""coordinates"":[]}"
2439,0.008054399249505129,0.0013237956924236904,4.6589373848227034E-4,-0.010497884228046539,0.0011656839056389812,"{""type"":""MultiPoint"",""coordinates"":[]}"
2474,-0.17816930381347174,-0.045423310749175105,-0.11761724861114398,0.19090366915869816,-0.09374896912371145,"{""type"":""MultiPoint"",""coordinates"":[]}"
